	A549Swt0h1_h0	A549Swt0h2_h0	A549S3wt3hHGF1_h3	A549S3wt3hHGF2_h3	A549S6wt6hHGF1_h6	A549S6wt6hHGF2_h6	A549S12wt12hHGF1_h12	A549S12wt12hHGF2_h12
MET:ENSG00000105976	16671	18031	18744	15728	24478	22728	32308	22071
RNF32:ENSG00000105982	13	2	7	8	13	18	26	22
LMBR1:ENSG00000105983	616	548	605	541	732	645	810	602
NHP2P1:ENSG00000105988	3	12	2	5	6	4	7	5
WNT2:ENSG00000105989	0	0	0	0	0	0	0	0
HOXA1:ENSG00000105991	97	103	126	85	185	150	183	146
DNAJB6:ENSG00000105993	1881	2244	2207	1862	2624	2420	3795	2744
HOXA2:ENSG00000105996	21	15	15	12	14	19	36	36
HOXA3:ENSG00000105997	195	230	121	106	143	145	298	199
LFNG:ENSG00000106003	28	20	30	25	12	15	4	5
HOXA5:ENSG00000106004	47	62	25	29	43	32	115	70
HOXA6:ENSG00000106006	19	11	5	1	4	6	17	14
BRAT1:ENSG00000106009	507	458	496	369	465	394	526	409
IQCE:ENSG00000106012	259	216	228	163	231	218	245	186
ANKRD7:ENSG00000106013	1	0	0	0	0	1	2	0
VIPR2:ENSG00000106018	0	0	0	0	0	0	0	0
TSPAN12:ENSG00000106025	10	9	13	13	21	31	32	18
SSBP1:ENSG00000106028	1234	1484	1257	1069	1515	1246	1953	1406
HOXA13:ENSG00000106031	32	21	7	6	11	9	25	12
CPED1:ENSG00000106034	1	3	0	0	0	2	1	0
EVX1:ENSG00000106038	4	3	4	2	1	1	5	0
HIBADH:ENSG00000106049	641	654	605	465	575	506	631	494
TAX1BP1:ENSG00000106052	2841	3016	3145	2831	3782	3420	4801	3496
CPVL:ENSG00000106066	0	0	0	0	1	0	1	0
CHN2:ENSG00000106069	2	0	0	0	2	0	1	0
GRB10:ENSG00000106070	2144	2053	2728	2314	4265	4678	5957	4011
ABHD11:ENSG00000106077	107	175	167	173	216	196	200	113
COBL:ENSG00000106078	272	266	250	174	289	269	464	371
FKBP14:ENSG00000106080	327	289	300	292	327	333	488	320
PLEKHA8:ENSG00000106086	329	256	265	199	338	317	504	369
STX1A:ENSG00000106089	798	688	997	800	1025	1084	1130	782
NOD1:ENSG00000106100	38	44	20	15	19	19	29	16
GARS1:ENSG00000106105	5688	6205	5830	4839	6427	5753	11077	7962
CRHR2:ENSG00000106113	0	0	0	0	0	0	0	0
EPHB6:ENSG00000106123	1	3	2	2	5	1	5	5
MINDY4:ENSG00000106125	73	57	78	43	72	61	80	55
GHRHR:ENSG00000106128	0	0	0	0	0	0	0	0
NSUN5P2:ENSG00000106133	81	102	90	55	96	103	128	80
CASP2:ENSG00000106144	303	290	256	229	253	261	454	308
CHCHD2:ENSG00000106153	3319	4246	3879	3346	4558	3966	5925	4141
CCL24:ENSG00000106178	2	0	1	1	2	2	1	1
HSPB1:ENSG00000106211	345	319	281	201	270	232	400	241
NPTX2:ENSG00000106236	0	2	0	0	0	0	1	1
PDAP1:ENSG00000106244	1616	1877	1686	1358	1598	1447	1859	1353
BUD31:ENSG00000106245	1935	2270	2062	1892	2637	2311	3331	2580
PTCD1:ENSG00000106246	156	97	83	85	88	58	149	91
CYP3A5:ENSG00000106258	94	76	86	93	123	88	81	79
ZKSCAN1:ENSG00000106261	3760	3914	4964	4134	5804	5365	6699	4530
EIF3B:ENSG00000106263	3293	3741	4327	3639	4895	4361	5655	3791
SNX8:ENSG00000106266	1173	1343	1400	1103	1620	1378	1992	1383
NUDT1:ENSG00000106268	175	225	178	135	229	178	177	162
PTPRZ1:ENSG00000106278	0	0	0	0	0	0	0	0
TAF6:ENSG00000106290	634	547	544	442	491	441	560	404
WASL:ENSG00000106299	1225	1231	1729	1488	2088	1856	2465	1729
HYAL4:ENSG00000106302	0	0	0	0	0	0	0	0
SPAM1:ENSG00000106304	0	0	0	0	0	0	0	0
AIMP2:ENSG00000106305	1263	1448	1271	1041	1270	1088	1725	1251
TFR2:ENSG00000106327	5	9	7	4	5	5	8	2
FSCN3:ENSG00000106328	2	1	1	1	2	0	3	0
MOSPD3:ENSG00000106330	67	52	45	33	47	41	28	36
PAX4:ENSG00000106331	0	0	0	0	0	0	0	0
PCOLCE:ENSG00000106333	11	15	9	5	12	12	11	7
FBXO24:ENSG00000106336	3	2	4	0	2	3	2	0
PPP1R17:ENSG00000106341	0	0	0	0	0	0	0	0
RBM28:ENSG00000106344	1102	1111	1335	1067	1468	1288	1861	1317
USP42:ENSG00000106346	602	618	922	773	1117	991	1305	907
IMPDH1:ENSG00000106348	494	380	449	307	343	319	511	370
AGFG2:ENSG00000106351	113	103	79	63	51	41	66	51
LSM5:ENSG00000106355	591	720	601	471	614	554	654	480
SERPINE1:ENSG00000106366	38214	45361	69775	61575	102227	115532	95930	58499
AP1S1:ENSG00000106367	595	671	533	468	531	443	585	417
MOGAT3:ENSG00000106384	0	0	0	0	0	0	0	0
C1GALT1:ENSG00000106392	1208	1322	1412	1186	1701	1544	2325	1545
PLOD3:ENSG00000106397	1023	1079	1122	881	1181	1053	1551	1005
RPA3:ENSG00000106399	356	449	343	284	313	275	388	297
ZNHIT1:ENSG00000106400	504	531	549	406	540	519	675	470
CLDN15:ENSG00000106404	468	424	660	462	770	734	1042	710
NOBOX:ENSG00000106410	0	0	0	0	0	0	0	0
GLCCI1:ENSG00000106415	70	63	61	49	80	74	108	70
MYL10:ENSG00000106436	0	0	0	0	0	0	0	0
PHF14:ENSG00000106443	473	427	386	369	475	457	625	449
NRF1:ENSG00000106459	348	350	630	496	616	512	607	454
TMEM106B:ENSG00000106460	956	785	838	748	1010	1004	1263	1067
EZH2:ENSG00000106462	208	247	247	198	286	234	303	239
CEP41:ENSG00000106477	211	202	177	139	205	190	206	163
ZNF862:ENSG00000106479	235	179	185	111	135	166	255	160
SFRP4:ENSG00000106483	61	59	62	38	65	56	77	42
MEST:ENSG00000106484	323	302	206	205	241	178	505	392
MEOX2:ENSG00000106511	0	0	0	0	0	0	0	0
ANKMY2:ENSG00000106524	189	161	165	136	184	172	298	217
ACTR3C:ENSG00000106526	0	0	0	0	0	1	0	0
POU6F2:ENSG00000106536	0	0	0	0	0	0	0	0
TSPAN13:ENSG00000106537	378	319	342	274	395	403	641	491
RARRES2:ENSG00000106538	0	0	0	0	0	0	0	0
AC004837.1:ENSG00000106540	0	1	0	0	0	0	0	0
AGR2:ENSG00000106541	3155	1652	1735	1286	1721	1771	2043	1905
AHR:ENSG00000106546	3231	2986	3486	2772	4443	3865	5906	4437
CHCHD3:ENSG00000106554	935	1015	873	747	1055	990	1425	1039
GIMAP2:ENSG00000106560	0	0	0	0	0	0	0	0
TMEM176B:ENSG00000106565	1	0	0	0	0	0	0	0
GLI3:ENSG00000106571	10	9	10	10	21	7	23	19
PSMA2:ENSG00000106588	960	1149	1056	812	1164	1052	1480	1034
MRPL32:ENSG00000106591	811	801	733	619	783	757	1092	802
COA1:ENSG00000106603	493	465	420	375	422	380	447	323
BLVRA:ENSG00000106605	402	324	322	245	319	282	378	310
URGCP:ENSG00000106608	667	665	685	561	765	718	1165	843
TMEM248:ENSG00000106609	1620	1765	1654	1300	1704	1441	2113	1543
STAG3L4:ENSG00000106610	146	159	155	99	179	162	199	160
RHEB:ENSG00000106615	1378	1621	1592	1409	1733	1644	2582	1719
PRKAG2:ENSG00000106617	798	798	823	709	983	816	1284	885
AEBP1:ENSG00000106624	0	0	0	0	0	0	1	0
POLD2:ENSG00000106628	979	1006	947	783	895	807	1095	783
MYL7:ENSG00000106631	0	1	0	0	0	0	0	0
GCK:ENSG00000106633	0	0	0	0	0	0	0	0
BCL7B:ENSG00000106635	974	1208	1429	1113	1665	1505	1978	1323
YKT6:ENSG00000106636	3479	3736	4330	3502	5065	4542	6438	4562
TBL2:ENSG00000106638	1131	1044	1101	868	1229	1126	1343	1074
GALNTL5:ENSG00000106648	0	0	0	0	0	0	0	0
CLIP2:ENSG00000106665	332	300	392	307	675	570	660	459
EIF4H:ENSG00000106682	9107	10259	10549	8921	12302	11215	16750	11946
LIMK1:ENSG00000106683	364	257	267	213	266	277	297	232
SPATA6L:ENSG00000106686	59	46	33	24	49	40	54	49
SLC1A1:ENSG00000106688	25	17	10	18	13	15	44	34
LHX2:ENSG00000106689	9	6	5	2	17	8	14	5
FKTN:ENSG00000106692	392	352	367	294	416	352	442	330
FSD1L:ENSG00000106701	247	194	250	229	352	373	604	372
CNTNAP3:ENSG00000106714	981	763	884	747	1033	933	1409	961
SPIN1:ENSG00000106723	1049	1001	1045	881	1305	1194	1896	1336
NMRK1:ENSG00000106733	43	42	28	23	24	17	40	33
TMEM245:ENSG00000106771	2958	2707	2741	2252	3007	2573	4130	2887
PRUNE2:ENSG00000106772	2	1	1	0	2	2	3	2
MEGF9:ENSG00000106780	617	527	366	285	413	383	804	585
TRIM14:ENSG00000106785	115	97	66	53	51	50	122	69
CORO2A:ENSG00000106789	30	15	11	14	8	4	10	6
TGFBR1:ENSG00000106799	1374	1297	1799	1607	2193	2358	2845	1901
SEC61B:ENSG00000106803	873	1075	1031	890	1248	1125	1871	1297
C5:ENSG00000106804	530	351	285	278	265	315	221	209
OGN:ENSG00000106809	0	0	0	0	0	0	0	0
ASPN:ENSG00000106819	0	0	0	1	0	0	1	0
ECM2:ENSG00000106823	0	2	1	0	2	1	1	1
TLE4:ENSG00000106829	587	731	636	519	634	535	833	576
LHX6:ENSG00000106852	7	3	6	9	11	16	28	15
PTGR1:ENSG00000106853	1746	2181	1510	1406	1692	1413	1663	1277
SUSD1:ENSG00000106868	396	420	469	376	564	538	665	533
AMBP:ENSG00000106927	29	19	13	9	13	17	13	10
AKNA:ENSG00000106948	241	163	141	109	87	102	229	161
TNFSF8:ENSG00000106952	0	0	0	0	0	1	0	0
DNM1:ENSG00000106976	553	361	448	321	414	411	358	292
ENG:ENSG00000106991	1	2	0	0	0	1	2	0
AK1:ENSG00000106992	262	277	261	205	248	252	412	300
CDC37L1:ENSG00000106993	404	474	471	418	484	495	809	621
RLN2:ENSG00000107014	0	0	0	0	0	0	0	0
RLN1:ENSG00000107018	0	0	0	0	0	0	0	0
PLGRKT:ENSG00000107020	71	62	58	46	78	67	98	97
TBC1D13:ENSG00000107021	366	391	327	291	345	322	477	324
RIC1:ENSG00000107036	1054	1000	1213	1034	1390	1184	1873	1334
KDM4C:ENSG00000107077	608	598	979	847	1123	1033	1514	1052
DOCK8:ENSG00000107099	16	11	34	20	35	29	36	21
KANK1:ENSG00000107104	171	153	194	147	145	99	273	186
ELAVL2:ENSG00000107105	2	3	3	1	6	3	5	0
NCS1:ENSG00000107130	333	308	327	276	359	315	498	345
TESK1:ENSG00000107140	299	290	377	287	440	427	588	424
KCNT1:ENSG00000107147	1	0	0	1	0	1	0	0
CA9:ENSG00000107159	1	0	0	0	1	0	1	3
FUBP3:ENSG00000107164	1295	1259	1735	1560	2101	1912	2428	1737
TYRP1:ENSG00000107165	2	2	3	2	0	2	1	1
CREB3:ENSG00000107175	995	1037	1074	858	1226	1074	1492	1111
RGP1:ENSG00000107185	1395	1197	1279	1115	1349	1202	1644	1107
MPDZ:ENSG00000107186	1060	1012	1276	1100	1742	1570	2406	1654
LHX3:ENSG00000107187	5	7	11	9	10	15	25	10
DDX58:ENSG00000107201	99	84	67	56	64	52	88	59
EDF1:ENSG00000107223	2080	2474	2043	1853	2109	2017	2324	1895
PIP5K1B:ENSG00000107242	2	0	1	0	1	0	0	0
GLIS3:ENSG00000107249	3194	3368	3401	2952	4242	4246	6239	4121
BAG1:ENSG00000107262	1299	1400	1630	1355	1790	1717	2220	1648
RAPGEF1:ENSG00000107263	1446	1546	1822	1441	2591	2630	2949	2202
NPDC1:ENSG00000107281	461	405	383	292	360	321	390	291
APBA1:ENSG00000107282	17	14	7	9	12	7	6	10
SETX:ENSG00000107290	5065	7742	12226	10768	18532	17430	14028	9240
SH3GL2:ENSG00000107295	1	1	1	2	7	6	7	1
PTGDS:ENSG00000107317	0	0	1	0	0	0	0	1
ABCA2:ENSG00000107331	248	236	240	159	222	171	173	144
SHB:ENSG00000107338	883	972	1155	966	1686	1476	1809	1239
UBE2R2:ENSG00000107341	1520	1665	1461	1235	1688	1539	2289	1831
ABHD17B:ENSG00000107362	345	375	347	270	363	376	695	427
EXOSC3:ENSG00000107371	704	834	800	672	878	762	1020	728
ZFAND5:ENSG00000107372	4723	4347	3952	3265	4415	3867	7260	5168
DVL1:ENSG00000107404	794	732	966	678	1107	1064	1136	736
PDLIM1:ENSG00000107438	812	766	682	608	594	529	819	590
CCNJ:ENSG00000107443	361	344	416	374	492	442	703	503
DNTT:ENSG00000107447	0	0	0	0	0	0	0	1
GATA3:ENSG00000107485	367	408	383	285	501	433	658	426
ATRNL1:ENSG00000107518	2	2	2	2	3	3	2	3
HPS1:ENSG00000107521	349	375	448	322	506	428	542	410
PHYH:ENSG00000107537	339	384	333	308	361	351	390	330
RASSF4:ENSG00000107551	11	9	10	8	4	10	6	5
DNMBP:ENSG00000107554	2455	2833	3392	2817	3798	3333	4091	2812
RAB11FIP2:ENSG00000107560	789	693	787	723	823	762	1127	795
CXCL12:ENSG00000107562	0	0	0	0	0	3	0	0
ERLIN1:ENSG00000107566	929	965	913	835	1014	936	1367	1043
EIF3A:ENSG00000107581	12589	12927	14917	13181	17649	16482	23471	16824
PKD2L1:ENSG00000107593	0	1	0	0	0	0	0	0
CUBN:ENSG00000107611	11	12	15	14	23	19	36	27
TRDMT1:ENSG00000107614	56	68	58	54	81	67	71	48
DDX50:ENSG00000107625	1006	1320	1338	1216	1649	1424	1822	1356
MAPK8:ENSG00000107643	784	912	942	769	1193	1057	1757	1225
SEC23IP:ENSG00000107651	3613	3786	5090	4487	6138	5364	7142	5044
ATE1:ENSG00000107669	985	927	1016	922	1194	1119	1640	1250
NSMCE4A:ENSG00000107672	277	301	244	232	305	217	341	236
PLEKHA1:ENSG00000107679	642	572	573	486	555	489	857	623
PALD1:ENSG00000107719	87	87	89	93	193	167	257	152
UNC5B:ENSG00000107731	95	106	138	112	150	139	157	90
CDH23:ENSG00000107736	18	8	3	8	12	11	13	8
VSIR:ENSG00000107738	965	881	797	635	680	594	810	589
SPOCK2:ENSG00000107742	11	17	22	22	18	18	36	29
MICU1:ENSG00000107745	990	957	960	734	1043	1019	1732	1269
PPP3CB:ENSG00000107758	637	622	778	714	942	865	1057	813
CCSER2:ENSG00000107771	682	665	839	747	990	952	1356	1040
BMPR1A:ENSG00000107779	522	415	284	223	328	277	563	442
MINPP1:ENSG00000107789	451	410	334	286	374	350	553	388
ACTA2:ENSG00000107796	1220	1301	1323	1031	1439	1236	2229	1501
LIPA:ENSG00000107798	333	290	190	181	172	162	196	167
TLX1:ENSG00000107807	0	0	0	0	0	0	1	0
TWNK:ENSG00000107815	1319	1504	1203	966	1313	1160	2535	1725
LZTS2:ENSG00000107816	246	233	152	120	159	120	297	238
SFXN3:ENSG00000107819	414	400	345	264	289	268	556	395
KAZALD1:ENSG00000107821	26	22	22	14	19	11	35	35
FBXW4:ENSG00000107829	905	845	930	723	976	863	1184	837
FGF8:ENSG00000107831	0	0	1	0	1	0	0	0
NPM3:ENSG00000107833	351	425	387	311	410	331	457	363
TNKS2:ENSG00000107854	2020	1995	3152	2689	4071	3513	4877	3302
PITX3:ENSG00000107859	0	0	0	0	0	0	1	0
GBF1:ENSG00000107862	4308	4482	5828	4388	6084	5464	7477	5106
ARHGAP21:ENSG00000107863	1996	1839	1517	1207	1940	1851	3486	2452
CPEB3:ENSG00000107864	91	78	64	61	121	110	218	150
FBXL15:ENSG00000107872	158	143	153	117	167	127	206	145
CUEDC2:ENSG00000107874	399	389	366	303	366	339	475	341
SUFU:ENSG00000107882	95	84	77	55	44	48	82	57
ANKRD26:ENSG00000107890	155	113	128	113	182	161	184	142
ACBD5:ENSG00000107897	1274	1134	1114	871	993	922	1515	1098
LHPP:ENSG00000107902	23	26	24	20	14	18	11	12
LARP4B:ENSG00000107929	1862	1981	2751	2258	2897	2590	3429	2319
GTPBP4:ENSG00000107937	4117	4527	5199	4760	6033	5512	7271	5159
EDRF1:ENSG00000107938	468	480	587	561	730	595	585	390
BCCIP:ENSG00000107949	1374	1628	1563	1311	1803	1644	2707	1913
MTPAP:ENSG00000107951	918	1050	1156	1000	1539	1257	2029	1352
NEURL1:ENSG00000107954	12	30	17	14	24	25	42	29
SH3PXD2A:ENSG00000107957	243	126	211	160	168	187	117	82
PITRM1:ENSG00000107959	2027	2334	2770	2309	3252	2869	3837	2666
STN1:ENSG00000107960	160	129	133	113	128	100	126	93
MAP3K8:ENSG00000107968	69	55	34	32	66	44	71	45
DKK1:ENSG00000107984	7401	9299	4243	3072	6042	5568	11971	9121
EBF3:ENSG00000108001	0	5	7	7	18	12	18	13
GLRX3:ENSG00000108010	938	1178	1292	1157	1651	1419	1848	1358
SORCS1:ENSG00000108018	0	0	0	0	0	0	0	0
TASOR2:ENSG00000108021	3491	3479	4107	3528	4834	4346	6703	4607
XPNPEP1:ENSG00000108039	445	437	445	363	489	478	761	542
SMC3:ENSG00000108055	1968	2128	1979	1829	2408	2288	3736	2683
SHOC2:ENSG00000108061	1557	1699	2057	1778	2281	2144	2960	2099
TFAM:ENSG00000108064	2473	2744	2587	2498	3381	2921	4822	3511
CCDC6:ENSG00000108091	1014	970	1026	819	992	910	1434	1097
CUL2:ENSG00000108094	663	669	730	626	890	769	1072	771
CCNY:ENSG00000108100	1248	1153	1342	1159	1593	1537	2071	1599
UBE2S:ENSG00000108106	3133	3592	4090	3026	4141	3493	4113	2841
RPL28:ENSG00000108107	7925	9912	10971	7940	11030	9736	12240	8733
ZMIZ1:ENSG00000108175	2204	1848	2544	2047	2939	2811	2711	1845
DNAJC12:ENSG00000108176	623	617	514	449	543	499	656	522
PPIF:ENSG00000108179	913	1293	2028	1716	2385	2186	2550	1781
PBLD:ENSG00000108187	62	75	63	50	90	82	93	71
TSPAN14:ENSG00000108219	1301	1263	1358	1101	1284	1387	1557	1130
LGI1:ENSG00000108231	0	0	0	0	0	0	0	0
TBC1D12:ENSG00000108239	304	282	316	279	379	362	585	409
CYP2C18:ENSG00000108242	0	1	0	0	1	1	2	1
KRT23:ENSG00000108244	2	2	0	1	0	1	0	1
CRYBA1:ENSG00000108255	0	0	0	0	0	0	0	0
NUFIP2:ENSG00000108256	5695	5729	9103	7939	9778	8776	12388	8429
GIT1:ENSG00000108262	943	882	886	609	707	639	1113	846
RPL19:ENSG00000108298	21792	24178	24566	20128	26209	23833	35436	26717
FBXL20:ENSG00000108306	704	746	475	380	520	519	973	628
RUNDC3A:ENSG00000108309	35	42	34	20	34	34	35	23
UBTF:ENSG00000108312	1522	1402	1321	1056	1322	1237	1923	1418
CSF3:ENSG00000108342	0	0	0	0	0	0	0	0
PSMD3:ENSG00000108344	5186	5400	5729	4573	6684	5909	8162	5920
CASC3:ENSG00000108349	2135	2168	2680	2259	2930	2524	3584	2526
RAPGEFL1:ENSG00000108352	41	32	56	44	54	49	70	31
RGS9:ENSG00000108370	88	48	78	51	92	78	139	107
RNF43:ENSG00000108375	88	76	59	44	51	54	124	66
WNT3:ENSG00000108379	213	186	249	200	380	341	437	326
ASPA:ENSG00000108381	1	2	1	0	0	3	1	1
RAD51C:ENSG00000108384	385	441	394	316	429	346	444	302
SEPTIN4:ENSG00000108387	2	1	3	3	1	0	4	2
MTMR4:ENSG00000108389	530	545	638	477	443	328	478	348
TRIM37:ENSG00000108395	707	584	707	612	743	703	1031	717
P2RX1:ENSG00000108405	0	0	0	0	0	0	0	1
DHX40:ENSG00000108406	1903	1872	1805	1478	2038	1828	2663	1927
KRT37:ENSG00000108417	0	0	0	0	0	0	0	0
TUBD1:ENSG00000108423	120	107	78	67	97	105	168	108
KPNB1:ENSG00000108424	5410	5706	5556	4655	5548	4970	7082	5079
GOSR2:ENSG00000108433	609	713	701	544	756	700	787	510
PNPO:ENSG00000108439	503	539	438	377	383	372	490	383
TVP23BP2:ENSG00000108442	0	0	0	0	0	0	0	0
RPS6KB1:ENSG00000108443	846	829	1020	872	1292	1187	1422	990
TRIM16L:ENSG00000108448	1452	1317	1309	1138	921	793	852	660
ZNF29P:ENSG00000108452	0	0	0	0	0	0	0	0
CDK5RAP3:ENSG00000108465	1306	1382	1062	803	958	941	1186	785
CBX1:ENSG00000108468	1157	1228	1055	919	1141	971	1575	1121
RECQL5:ENSG00000108469	565	562	570	429	573	531	494	375
PIGL:ENSG00000108474	180	190	195	114	205	194	275	197
GALK1:ENSG00000108479	163	137	131	114	112	113	137	103
INTS2:ENSG00000108506	1359	1262	1371	1154	1703	1505	2233	1479
CAMTA2:ENSG00000108509	957	915	962	781	951	783	1205	836
MED13:ENSG00000108510	4874	4762	9065	7620	11484	10377	12757	8509
HOXB6:ENSG00000108511	70	54	24	26	54	31	132	86
ENO3:ENSG00000108515	234	283	341	256	399	328	425	327
AC003958.1:ENSG00000108516	0	0	0	0	0	0	0	0
PFN1:ENSG00000108518	11863	13698	14197	11108	14119	12522	16618	12012
RNF167:ENSG00000108523	2445	2467	2530	1886	2532	2366	3115	2349
SLC25A11:ENSG00000108528	448	460	504	398	478	435	473	364
RASD1:ENSG00000108551	4	8	7	8	0	6	8	0
CHRNE:ENSG00000108556	0	1	0	1	2	1	3	0
RAI1:ENSG00000108557	1456	1352	1532	1163	1498	1268	2254	1458
NUP88:ENSG00000108559	1217	1251	1329	1109	1475	1274	1674	1341
C1QBP:ENSG00000108561	2381	2702	2361	1995	2607	2147	3383	2475
SLC6A4:ENSG00000108576	1	1	1	3	1	4	3	1
BLMH:ENSG00000108578	747	780	727	655	784	692	1065	837
CPD:ENSG00000108582	2317	1882	2500	2210	2950	2758	3686	2715
GOSR1:ENSG00000108587	2676	2441	4134	3358	4825	4354	4472	3134
CCDC47:ENSG00000108588	4775	4847	5284	4541	6150	5750	7792	5604
MED31:ENSG00000108590	251	278	300	249	351	317	501	355
DRG2:ENSG00000108591	1534	1583	1707	1271	1753	1583	2138	1459
FTSJ3:ENSG00000108592	1082	1087	1237	1020	1211	1171	1455	1174
AKAP10:ENSG00000108599	1047	1203	1815	1509	1896	1705	1948	1405
ALDH3A1:ENSG00000108602	12314	12992	12653	9522	11625	10703	10934	8263
SMARCD2:ENSG00000108604	580	490	367	342	367	297	505	373
ICAM2:ENSG00000108622	0	0	0	0	0	0	1	0
SYNGR2:ENSG00000108639	1250	1168	1322	995	1257	1201	1521	1066
B9D1:ENSG00000108641	94	77	78	68	71	75	59	60
UTP6:ENSG00000108651	1315	1516	2048	1856	2594	2205	2760	1882
DDX5:ENSG00000108654	18356	18559	26147	22606	33264	31196	37907	27362
C17orf75:ENSG00000108666	230	183	171	138	167	149	297	204
CYTH1:ENSG00000108669	1555	1680	3322	2761	4000	4065	3037	2155
PSMD11:ENSG00000108671	2132	2492	3073	2515	3595	3148	4060	3004
LGALS3BP:ENSG00000108679	535	391	390	309	321	311	211	143
ASIC2:ENSG00000108684	23	15	20	9	20	19	32	26
CCL7:ENSG00000108688	0	0	0	0	0	0	0	0
CCL2:ENSG00000108691	6	10	13	9	17	10	8	4
CCL8:ENSG00000108700	0	0	0	0	0	0	0	0
CCL1:ENSG00000108702	0	0	0	0	0	0	0	0
PEX12:ENSG00000108733	232	281	280	204	352	300	388	279
KRT32:ENSG00000108759	0	1	1	0	0	3	0	0
DHX58:ENSG00000108771	3	4	0	4	1	1	2	2
KAT2A:ENSG00000108773	317	211	244	160	160	180	213	156
RAB5C:ENSG00000108774	2447	2565	3126	2330	3248	2865	4241	2950
NAGLU:ENSG00000108784	527	564	588	394	541	427	574	377
HSD17B1P1:ENSG00000108785	0	0	1	0	0	1	0	0
HSD17B1:ENSG00000108786	21	7	13	16	14	10	22	18
MLX:ENSG00000108788	987	1010	1027	888	1069	899	1458	1076
CNTNAP1:ENSG00000108797	126	134	103	94	105	93	88	60
ABI3:ENSG00000108798	0	2	0	0	0	0	0	0
EZH1:ENSG00000108799	679	773	565	437	582	522	876	662
DLX4:ENSG00000108813	75	79	67	51	113	117	152	83
PPP1R9B:ENSG00000108819	1254	1239	1122	879	1109	929	1567	1129
COL1A1:ENSG00000108821	149	176	196	151	215	283	291	187
SGCA:ENSG00000108823	0	0	1	0	1	0	2	0
PTGES3L-AARSD1:ENSG00000108825	7	0	6	3	1	1	3	2
MRPL27:ENSG00000108826	986	1320	1175	1013	1430	1252	1636	1282
VAT1:ENSG00000108828	2545	2634	2552	1954	2491	2241	3316	2546
LRRC59:ENSG00000108829	9148	10140	11904	9588	13578	12049	18632	13273
RND2:ENSG00000108830	0	3	0	3	3	1	0	0
ALOX12:ENSG00000108839	0	0	1	1	0	0	0	0
HDAC5:ENSG00000108840	565	603	982	701	1235	1114	1022	718
ABCC3:ENSG00000108846	7067	5244	6733	4869	6205	6306	6291	4466
LUC7L3:ENSG00000108848	4554	5213	4632	4368	5651	5461	7199	5307
PPY:ENSG00000108849	0	0	0	0	1	0	0	0
MPP2:ENSG00000108852	17	25	22	8	12	14	15	13
SMURF2:ENSG00000108854	1183	1321	1917	1628	2284	2106	2423	1668
DUSP3:ENSG00000108861	1145	1248	896	776	1007	965	1308	884
CACNG1:ENSG00000108878	0	0	0	0	0	2	0	0
EFTUD2:ENSG00000108883	4552	5083	5370	4203	5552	4738	5909	4247
HLF:ENSG00000108924	78	102	123	103	116	84	150	143
SLC16A6:ENSG00000108932	18	13	8	10	8	7	18	17
PRKAR1A:ENSG00000108946	7148	7380	8807	7734	10847	9822	13713	9690
EFNB3:ENSG00000108947	14	7	6	2	3	4	8	6
FAM20A:ENSG00000108950	0	0	0	0	1	0	1	0
YWHAE:ENSG00000108953	10365	12280	12164	10053	13284	11763	17227	12679
AC130689.1:ENSG00000108958	4	1	4	3	1	0	4	3
MMD:ENSG00000108960	204	171	162	142	177	137	265	200
RANGRF:ENSG00000108961	382	398	413	304	405	348	475	319
DPH1:ENSG00000108963	1034	1190	1131	919	1110	1057	1545	1096
MAP2K6:ENSG00000108984	21	18	11	10	3	2	2	0
DHRS7B:ENSG00000109016	127	135	135	112	165	112	154	95
WSB1:ENSG00000109046	1813	2020	2673	2340	2703	2559	3429	2421
RCVRN:ENSG00000109047	1	0	0	0	0	0	0	0
MYH1:ENSG00000109061	0	0	0	0	0	0	0	0
SLC9A3R1:ENSG00000109062	334	394	451	326	397	350	420	269
MYH3:ENSG00000109063	17	17	20	13	20	16	25	19
NAT9:ENSG00000109065	694	785	818	685	778	733	870	649
TMEM104:ENSG00000109066	453	361	495	317	373	388	451	301
VTN:ENSG00000109072	85	56	64	43	43	43	23	14
TNFAIP1:ENSG00000109079	850	882	1119	874	1054	1016	1263	850
IFT20:ENSG00000109083	734	739	684	641	711	688	1006	777
TMEM97:ENSG00000109084	302	250	202	157	183	134	266	208
CDR2L:ENSG00000109089	699	612	709	584	677	653	834	663
PMP22:ENSG00000109099	4117	4195	3381	2711	3031	2889	5549	4584
FOXN1:ENSG00000109101	3	1	0	1	1	1	2	0
UNC119:ENSG00000109103	173	170	139	96	117	140	184	88
ALDOC:ENSG00000109107	8	5	11	9	8	10	7	10
SUPT6H:ENSG00000109111	4797	5567	8830	7017	10504	9680	11320	7431
RAB34:ENSG00000109113	1725	1592	1632	1218	1725	1523	2155	1405
PHF12:ENSG00000109118	978	884	650	485	774	679	1339	904
PHOX2B:ENSG00000109132	0	0	0	0	0	0	0	0
TMEM33:ENSG00000109133	1641	1635	1701	1454	1864	1638	2584	1833
GABRA4:ENSG00000109158	0	0	0	0	0	0	0	0
GNRHR:ENSG00000109163	0	0	0	0	0	0	0	0
SLAIN2:ENSG00000109171	431	388	572	525	681	605	862	591
OCIAD1:ENSG00000109180	1620	1639	1529	1386	1996	1970	2655	2017
